,Unnamed: 0,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,amount_oldbalanceOrg,orig_transaction_error,dest_transaction_error,orig_dest,transaction_duration
1698461,1698461,159,CASH_OUT,147692.5,C355045310,391.0,0.0,C1257905253,0.0,147692.5,0,0,not equal,error,no error,C-C,less than a week
5174671,5174671,359,PAYMENT,23680.91,C1384206160,48983.05,25302.14,M634621587,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
4196909,4196909,305,CASH_OUT,179901.95,C620545610,0.0,0.0,C46529027,682497.69,862399.65,0,0,not equal,error,error,C-C,less than a month
1114356,1114356,130,CASH_OUT,291180.66,C891410741,0.0,0.0,C571643031,12888644.06,13179824.72,0,0,not equal,error,error,C-C,less than a week
4500352,4500352,325,PAYMENT,10184.98,C1713941763,234.0,0.0,M368604936,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
6234891,6234891,594,CASH_IN,171665.58,C1768685893,5408.0,177073.58,C1725669174,0.0,0.0,0,0,not equal,error,error,C-C,less than a month
4886508,4886508,349,CASH_IN,332638.72,C2018930632,17320.0,349958.72,C1875363253,0.0,0.0,0,0,not equal,error,error,C-C,less than a month
5275326,5275326,372,PAYMENT,7803.48,C531822329,11066.39,3262.91,M1113776916,0.0,0.0,0,0,not equal,no error,error,C-M,less than a month
4365666,4365666,310,PAYMENT,800.8,C1980614372,0.0,0.0,M1129640003,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
5463608,5463608,379,DEBIT,616.39,C1980274870,0.0,0.0,C1943907183,116378.96,116995.35,0,0,not equal,error,error,C-C,less than a month
4846788,4846788,347,PAYMENT,47420.66,C555323435,27087.0,0.0,M767026966,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
352567,352567,17,TRANSFER,143708.86,C2131251249,0.0,0.0,C729866516,12154460.41,12298169.27,0,0,not equal,error,error,C-C,less than one day
4984810,4984810,352,PAYMENT,18742.09,C1986361376,257852.9,239110.81,M1764975485,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
4184155,4184155,304,CASH_IN,413905.69,C92963353,6072.0,419977.69,C1162334294,0.0,0.0,0,0,not equal,error,error,C-C,less than a month
4037182,4037182,299,PAYMENT,5190.98,C1133454375,0.0,0.0,M1803119670,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
3955161,3955161,288,CASH_IN,501358.34,C1525636349,5232062.46,5733420.8,C152202138,2636070.25,2134711.92,0,0,not equal,error,error,C-C,less than a month
4195740,4195740,305,PAYMENT,6882.98,C1481660737,0.0,0.0,M1336543241,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
4265402,4265402,307,CASH_IN,257272.04,C87309327,7972784.09,8230056.14,C2145346257,2067255.2,1809983.15,0,0,not equal,error,error,C-C,less than a month
2219864,2219864,186,TRANSFER,686625.49,C1116765562,0.0,0.0,C1098534052,716373.25,1402998.74,0,0,not equal,error,no error,C-C,less than a month
1874000,1874000,164,PAYMENT,24358.5,C1009609941,23112.92,0.0,M205605685,0.0,0.0,0,0,not equal,error,error,C-M,less than a week
5265616,5265616,372,TRANSFER,848917.8,C1179487936,0.0,0.0,C2076195464,880148.4,1729066.21,0,0,not equal,error,error,C-C,less than a month
1838634,1838634,163,PAYMENT,8547.37,C579633378,0.0,0.0,M1316558693,0.0,0.0,0,0,not equal,error,error,C-M,less than a week
1491346,1491346,142,PAYMENT,14319.3,C58218324,14823.0,503.7,M879627657,0.0,0.0,0,0,not equal,no error,error,C-M,less than a week
4250504,4250504,306,CASH_IN,205397.17,C805363487,940413.73,1145810.9,C868255835,1157839.61,952442.44,0,0,not equal,error,error,C-C,less than a month
5729227,5729227,399,CASH_OUT,181537.11,C408717153,0.0,0.0,C189668710,988802.39,1170339.51,0,0,not equal,error,error,C-C,less than a month
4316211,4316211,308,CASH_IN,243910.92,C535057892,2093554.25,2337465.17,C639445549,357210.31,113299.39,0,0,not equal,error,error,C-C,less than a month
3822568,3822568,282,CASH_IN,23543.47,C1516561393,4957216.53,4980760.0,C313636155,618192.92,594649.45,0,0,not equal,error,error,C-C,less than a month
2461542,2461542,203,CASH_OUT,36729.49,C1346342117,32105.0,0.0,C33637801,3915619.59,3952349.08,0,0,not equal,error,error,C-C,less than a month
5414117,5414117,378,PAYMENT,43432.81,C2135568930,0.0,0.0,M587816869,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
1281756,1281756,135,CASH_OUT,248264.98,C154261387,2071.0,0.0,C339438511,0.0,248264.98,0,0,not equal,error,no error,C-C,less than a week
2499778,2499778,204,CASH_IN,95448.94,C1157941575,1005372.25,1100821.2,C1811569963,134657.26,39208.31,0,0,not equal,error,error,C-C,less than a month
3695945,3695945,277,PAYMENT,10984.57,C1929623215,11482.0,497.43,M1360323601,0.0,0.0,0,0,not equal,no error,error,C-M,less than a month
5213419,5213419,370,CASH_OUT,46372.66,C399369540,24543.52,0.0,C1223644961,54188.14,100560.8,0,0,not equal,error,no error,C-C,less than a month
3191649,3191649,241,CASH_OUT,333817.64,C887399540,0.0,0.0,C92771280,2369964.52,2703782.16,0,0,not equal,error,error,C-C,less than a month
1086,1086,1,PAYMENT,6078.56,C405741210,16124.0,10045.44,M1764291958,0.0,0.0,0,0,not equal,error,error,C-M,less than one day
4007026,4007026,298,CASH_OUT,203837.86,C486785069,0.0,0.0,C270908590,1368037.75,1571875.61,0,0,not equal,error,error,C-C,less than a month
3070740,3070740,235,CASH_OUT,293485.4,C454677073,0.0,0.0,C427644641,4179228.02,4472713.42,0,0,not equal,error,error,C-C,less than a month
3831576,3831576,282,CASH_OUT,108894.23,C1423648986,128740.07,19845.84,C8618049,6335356.89,6444251.12,0,0,not equal,error,error,C-C,less than a month
2203480,2203480,185,CASH_IN,17960.51,C1214846650,4341510.26,4359470.76,C915421322,1534245.46,1516284.95,0,0,not equal,error,error,C-C,less than a month
829630,829630,41,CASH_IN,3124.04,C1663109962,4196521.79,4199645.83,C416731869,170719.87,167595.83,0,0,not equal,error,error,C-C,less than a week
1334508,1334508,137,CASH_OUT,64281.6,C2104368550,1642.0,0.0,C1619864593,0.0,64281.6,0,0,not equal,error,no error,C-C,less than a week
4828959,4828959,347,CASH_IN,92557.32,C784614209,4229888.13,4322445.45,C682916035,1440427.41,1347870.09,0,0,not equal,error,error,C-C,less than a month
2116789,2116789,183,PAYMENT,17004.46,C313865930,21153.0,4148.54,M390378623,0.0,0.0,0,0,not equal,no error,error,C-M,less than a month
4434031,4434031,323,CASH_OUT,410153.35,C1892536226,0.0,0.0,C1704323890,5074781.39,5484934.74,0,0,not equal,error,error,C-C,less than a month
4130784,4130784,302,PAYMENT,4968.07,C1285484516,85289.68,80321.62,M2073943947,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
6163586,6163586,550,TRANSFER,106073.26,C951828640,16831.0,0.0,C9403181,0.0,106073.26,0,0,not equal,error,no error,C-C,less than a month
4027377,4027377,299,PAYMENT,36470.28,C634288388,0.0,0.0,M1298399443,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
3006947,3006947,232,CASH_OUT,226595.29,C936051943,75420.0,0.0,C1348043902,0.0,226595.29,0,0,not equal,error,no error,C-C,less than a month
543697,543697,21,PAYMENT,6461.25,C1783027413,242667.0,236205.75,M1750265738,0.0,0.0,0,0,not equal,no error,error,C-M,less than one day
1587973,1587973,155,CASH_OUT,25610.85,C185742239,102157.37,76546.52,C1681136671,66062.72,91673.57,0,0,not equal,error,error,C-C,less than a week
5087453,5087453,355,PAYMENT,8586.69,C1006155599,25182.77,16596.09,M2030005660,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
1041097,1041097,94,TRANSFER,480789.93,C1450174591,0.0,0.0,C1596306253,2901591.65,3382381.57,0,0,not equal,error,error,C-C,less than a week
4349260,4349260,309,CASH_IN,404591.93,C1487874188,50188.0,454779.93,C249418525,0.0,0.0,0,0,not equal,error,error,C-C,less than a month
814918,814918,40,CASH_IN,247220.43,C1758804913,61313.0,308533.43,C116678948,2167294.21,1920073.79,0,0,not equal,error,error,C-C,less than a week
5958116,5958116,405,PAYMENT,5718.53,C1034756386,0.0,0.0,M427269226,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
1457937,1457937,140,PAYMENT,3003.04,C56527113,9928.0,6924.96,M937700270,0.0,0.0,0,0,not equal,no error,error,C-M,less than a week
3242258,3242258,250,CASH_OUT,80556.22,C1575141897,0.0,0.0,C1005094012,180539.02,261095.24,0,0,not equal,error,no error,C-C,less than a month
950825,950825,44,CASH_OUT,4891.9,C596520231,0.0,0.0,C773853121,827222.53,832114.43,0,0,not equal,error,error,C-C,less than a week
1012925,1012925,46,CASH_IN,233782.68,C983437502,8471872.24,8705654.92,C602349968,375248.95,141466.27,0,0,not equal,error,error,C-C,less than a week
5970706,5970706,406,CASH_OUT,65352.91,C1415361639,0.0,0.0,C1807550136,725141.11,790494.02,0,0,not equal,error,error,C-C,less than a month
5380363,5380363,376,CASH_IN,191986.4,C1987538878,4449.0,196435.4,C69943379,0.0,0.0,0,0,not equal,error,error,C-C,less than a month
317745,317745,16,CASH_IN,74237.35,C1642601183,63505.0,137742.35,C1623293412,0.0,0.0,0,0,not equal,error,error,C-C,less than one day
2839637,2839637,226,PAYMENT,6623.06,C998836209,0.0,0.0,M1230072051,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
1106755,1106755,130,PAYMENT,3111.61,C1242170254,0.0,0.0,M6613738,0.0,0.0,0,0,not equal,error,error,C-M,less than a week
959299,959299,44,CASH_OUT,21598.37,C440399590,0.0,0.0,C1544718720,52659.32,74257.69,0,0,not equal,error,error,C-C,less than a week
2170635,2170635,185,CASH_OUT,172700.62,C717857585,0.0,0.0,C1927271447,1314860.72,1533192.69,0,0,not equal,error,error,C-C,less than a month
6310920,6310920,686,TRANSFER,359311.32,C1338497012,14870.0,0.0,C1554843635,0.0,359311.32,0,0,not equal,error,no error,C-C,less than a month
1222354,1222354,133,CASH_OUT,49802.12,C2080334024,189740.37,139938.26,C1727562137,304819.86,354621.98,0,0,not equal,error,error,C-C,less than a week
5908856,5908856,404,PAYMENT,9937.66,C1381692678,20444.35,10506.69,M164887006,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
591993,591993,33,CASH_OUT,14662.44,C1429635941,0.0,0.0,C1335497107,199015.53,213677.98,0,0,not equal,error,error,C-C,less than a week
5176528,5176528,359,CASH_IN,346426.13,C853445656,1734277.17,2080703.3,C997884468,643843.57,297417.43,0,0,not equal,error,error,C-C,less than a month
4347183,4347183,308,CASH_OUT,123692.88,C1000196874,0.0,0.0,C1660360083,131817.73,255510.61,0,0,not equal,error,error,C-C,less than a month
1251594,1251594,134,PAYMENT,23221.61,C209556824,705034.1,681812.49,M1194289348,0.0,0.0,0,0,not equal,error,error,C-M,less than a week
934420,934420,43,PAYMENT,2914.71,C488331598,496958.03,494043.32,M415123392,0.0,0.0,0,0,not equal,error,error,C-M,less than a week
4434511,4434511,323,CASH_IN,107042.24,C1544225383,7967781.01,8074823.25,C2060095351,989011.41,881969.17,0,0,not equal,error,error,C-C,less than a month
3071201,3071201,235,CASH_IN,4439.17,C354684727,28354.0,32793.17,C448402056,0.0,0.0,0,0,not equal,error,error,C-C,less than a month
2213118,2213118,186,CASH_IN,488509.33,C2143162986,72272.0,560781.33,C1328590699,0.0,0.0,0,0,not equal,error,error,C-C,less than a month
5559264,5559264,384,TRANSFER,2033886.06,C1603360934,223165.27,0.0,C884880735,18287494.42,20321380.48,0,0,not equal,error,error,C-C,less than a month
2659586,2659586,210,PAYMENT,284.16,C842476028,92932.0,92647.84,M2053208258,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
1215466,1215466,133,PAYMENT,14902.74,C121824530,10694.0,0.0,M215166012,0.0,0.0,0,0,not equal,error,error,C-M,less than a week
5274658,5274658,372,PAYMENT,1110.78,C1268927626,241.0,0.0,M926669149,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
3008384,3008384,232,CASH_OUT,303446.67,C125018048,1717.0,0.0,C45788803,0.0,303446.67,0,0,not equal,error,no error,C-C,less than a month
3120319,3120319,236,PAYMENT,6966.22,C986700338,41169.0,34202.78,M1954458034,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
2043993,2043993,181,CASH_OUT,256377.6,C1632609686,5447.0,0.0,C352660304,277158.08,533535.67,0,0,not equal,error,error,C-C,less than a month
2664166,2664166,210,PAYMENT,5541.52,C341310463,65156.0,59614.48,M1674419451,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
4321825,4321825,308,DEBIT,2023.35,C290642267,572560.54,570537.2,C644272807,349903.51,351926.86,0,0,not equal,error,error,C-C,less than a month
1731528,1731528,161,CASH_OUT,12520.39,C1135270995,131801.0,119280.61,C29028630,0.0,12520.39,0,0,not equal,no error,no error,C-C,less than a week
1531963,1531963,154,CASH_OUT,142446.29,C223204425,0.0,0.0,C444207734,179204.49,321650.78,0,0,not equal,error,error,C-C,less than a week
2151324,2151324,184,CASH_OUT,187625.5,C416547766,0.0,0.0,C1495222255,1607690.22,1795315.72,0,0,not equal,error,no error,C-C,less than a month
818222,818222,40,CASH_OUT,35913.55,C2120007954,277126.59,241213.03,C1738649621,16539.52,52453.07,0,0,not equal,error,no error,C-C,less than a week
5515140,5515140,380,PAYMENT,2103.42,C1903077253,40010.0,37906.58,M1238840624,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
3866938,3866938,283,CASH_OUT,102011.65,C1192077940,180.0,0.0,C480782031,289383.22,391394.87,0,0,not equal,error,error,C-C,less than a month
2479814,2479814,204,CASH_IN,133777.3,C1786132487,2171261.16,2305038.46,C893964103,914087.97,780310.67,0,0,not equal,error,error,C-C,less than a month
1710136,1710136,160,PAYMENT,2938.73,C528991529,47470.91,44532.18,M152066227,0.0,0.0,0,0,not equal,error,error,C-M,less than a week
1173390,1173390,132,CASH_OUT,81288.19,C530693514,18037.0,0.0,C1380474736,0.0,81288.19,0,0,not equal,error,no error,C-C,less than a week
145514,145514,11,CASH_OUT,153951.05,C760472074,0.0,0.0,C893353752,296731.11,450682.15,0,0,not equal,error,error,C-C,less than one day
5509835,5509835,380,PAYMENT,14781.83,C448691313,0.0,0.0,M1766979714,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
5392069,5392069,377,PAYMENT,13338.69,C28811852,245770.0,232431.31,M1056126388,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
1787871,1787871,162,CASH_OUT,131311.26,C654079326,12353.78,0.0,C670102047,575642.25,706953.51,0,0,not equal,error,no error,C-C,less than a week
5283862,5283862,372,PAYMENT,10908.91,C1078444493,10682.0,0.0,M619680408,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
5568872,5568872,393,PAYMENT,25849.4,C1105983220,20001.0,0.0,M680558477,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
5990161,5990161,416,CASH_OUT,104673.49,C1411277660,0.0,0.0,C246665727,110303.86,214977.35,0,0,not equal,error,no error,C-C,less than a month
3404766,3404766,255,CASH_IN,264026.64,C1716077809,160.0,264186.64,C1054760520,6361370.79,6097344.15,0,0,not equal,error,error,C-C,less than a month
2118832,2118832,183,CASH_OUT,60139.82,C22062248,363284.0,303144.18,C385055387,275604.69,335744.51,0,0,not equal,error,error,C-C,less than a month
4878033,4878033,348,CASH_OUT,171836.84,C982281240,0.0,0.0,C1362697550,200903.95,372740.79,0,0,not equal,error,error,C-C,less than a month
2163865,2163865,184,CASH_IN,220424.46,C1412647504,61818.0,282242.46,C1121780053,2291651.49,2071227.03,0,0,not equal,error,error,C-C,less than a month
2038825,2038825,180,PAYMENT,2508.53,C997353725,2026.0,0.0,M1189858610,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
3769456,3769456,280,TRANSFER,2246870.04,C493336504,0.0,0.0,C1177453371,4508442.77,6755312.81,0,0,not equal,error,no error,C-C,less than a month
966880,966880,44,CASH_OUT,165000.77,C1076416250,32131.0,0.0,C1056250695,1143055.45,1396846.84,0,0,not equal,error,error,C-C,less than a week
3997955,3997955,298,CASH_OUT,310797.16,C1028089226,111560.0,0.0,C245097909,4414778.5,4725575.66,0,0,not equal,error,error,C-C,less than a month
4534437,4534437,326,PAYMENT,1378.1,C1083611181,0.0,0.0,M285185380,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
4473707,4473707,324,CASH_OUT,57333.82,C488290687,143.0,0.0,C792399151,73519.93,130853.75,0,0,not equal,error,error,C-C,less than a month
3792343,3792343,280,CASH_OUT,84351.8,C1706850228,0.0,0.0,C23131150,252440.77,336792.57,0,0,not equal,error,error,C-C,less than a month
4465302,4465302,324,PAYMENT,56477.82,C1320216765,50021.0,0.0,M1504361660,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
3989751,3989751,298,PAYMENT,11137.28,C1648911212,0.0,0.0,M1642021386,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
503158,503158,20,PAYMENT,9816.4,C433165155,715.96,0.0,M258754908,0.0,0.0,0,0,not equal,error,error,C-M,less than one day
4024237,4024237,299,CASH_OUT,229802.53,C953387840,0.0,0.0,C718929263,399309.54,629112.07,0,0,not equal,error,error,C-C,less than a month
4175050,4175050,304,CASH_OUT,64850.63,C359790238,113939.0,49088.37,C2124808354,34078.04,98928.67,0,0,not equal,no error,no error,C-C,less than a month
5156802,5156802,357,PAYMENT,1572.35,C561742030,31017.0,29444.65,M1348294639,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
1348203,1348203,137,CASH_IN,146740.56,C551902432,184569.15,331309.72,C1143138436,732938.75,586198.18,0,0,not equal,error,error,C-C,less than a week
4790833,4790833,345,CASH_OUT,83607.3,C1898352370,788.0,0.0,C1097543061,160298.72,243906.02,0,0,not equal,error,error,C-C,less than a month
1020438,1020438,47,CASH_IN,90319.28,C2094099948,2259356.04,2349675.32,C1593264010,424118.34,333799.07,0,0,not equal,error,error,C-C,less than a week
3597402,3597402,263,PAYMENT,2470.01,C1721366658,99654.0,97183.99,M1345334339,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
5681326,5681326,397,PAYMENT,16719.5,C1947149464,0.0,0.0,M1439258475,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
42479,42479,9,PAYMENT,12940.91,C1189278248,0.0,0.0,M1887899176,0.0,0.0,0,0,not equal,error,error,C-M,less than one day
1391327,1391327,139,TRANSFER,136117.92,C1873884063,949.0,0.0,C1321396184,939054.23,1075172.15,0,0,not equal,error,error,C-C,less than a week
149931,149931,12,CASH_OUT,579545.17,C1181224306,27598.0,0.0,C1122524668,1190548.48,1942235.73,0,0,not equal,error,error,C-C,less than one day
2418804,2418804,202,PAYMENT,12034.97,C731469646,21360.0,9325.03,M134727137,0.0,0.0,0,0,not equal,no error,error,C-M,less than a month
2837583,2837583,226,CASH_OUT,217413.32,C472761677,0.0,0.0,C125997794,514124.77,731538.1,0,0,not equal,error,error,C-C,less than a month
5455259,5455259,379,CASH_OUT,225305.0,C712562027,49657.0,0.0,C1389716620,114610.55,339915.55,0,0,not equal,error,no error,C-C,less than a month
4518938,4518938,325,CASH_IN,266789.56,C125694598,10577.0,277366.56,C282169144,312610.75,45821.19,0,0,not equal,error,error,C-C,less than a month
5628432,5628432,395,CASH_OUT,310760.6,C2107228915,0.0,0.0,C1134014582,1073685.86,2345527.63,0,0,not equal,error,error,C-C,less than a month
5976736,5976736,407,PAYMENT,3128.4,C1547983077,203879.98,200751.58,M1969731860,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
5471115,5471115,379,CASH_OUT,394017.25,C442070809,10017.0,0.0,C906046436,0.0,394017.25,0,0,not equal,error,no error,C-C,less than a month
5761337,5761337,400,CASH_OUT,83193.44,C8003346,0.0,0.0,C1427520452,427344.82,510538.26,0,0,not equal,error,no error,C-C,less than a month
3122332,3122332,236,CASH_OUT,88799.02,C266001719,0.0,0.0,C1909155713,1177704.7,1266503.73,0,0,not equal,error,error,C-C,less than a month
1080954,1080954,129,CASH_OUT,64846.12,C1214056251,87815.0,22968.88,C747446123,0.0,64846.12,0,0,not equal,error,no error,C-C,less than a week
5677715,5677715,397,PAYMENT,2539.78,C1498024041,9539.0,6999.22,M932861803,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
482805,482805,19,CASH_IN,268022.83,C260358911,0.0,268022.83,C1487800731,469264.74,10550.61,0,0,not equal,error,error,C-C,less than one day
3731611,3731611,278,PAYMENT,8444.02,C980267936,0.0,0.0,M2136017255,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
5033126,5033126,354,CASH_OUT,225263.84,C1368648108,6285.0,0.0,C2097458881,2960097.97,3185361.8,0,0,not equal,error,error,C-C,less than a month
3825667,3825667,282,PAYMENT,877.72,C1486177018,78669.78,77792.06,M2136149373,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
5519597,5519597,380,PAYMENT,177.12,C839720997,246.0,68.88,M2055237947,0.0,0.0,0,0,not equal,no error,error,C-M,less than a month
334983,334983,16,PAYMENT,29741.16,C1265669464,509904.24,480163.09,M150768167,0.0,0.0,0,0,not equal,error,error,C-M,less than one day
314734,314734,16,CASH_IN,181454.78,C1800265437,139873.0,321327.78,C1161222660,0.0,0.0,0,0,not equal,error,error,C-C,less than one day
1278835,1278835,135,CASH_OUT,59088.43,C723252926,0.0,0.0,C608841822,529072.42,588160.86,0,0,not equal,error,error,C-C,less than a week
